ResponseId,Q19,Q21,Q22,Q24,Q46,Q25,Q26,Q27,Q29
R_2PhTIrDv7qrLHPa,The data capture platform is used to give discussion facilitator real time insights into the interactions and collaboration within each group. The platform allows the users to enter a list of keywords that the app listens for during each discussion. ,Neutral,,Neutral,Agree,Agree,Agree,No,Maybe
R_A0xlEKcSuVgfd5L,"The purpose the platform is to provide facilitators with intimate information on how a discussion went. It functions as a recording device and an analyzer of words used, tone, and how much of a conversation was productive vs not amongst other tools.",Agree,,Neutral,Agree,Neutral,Agree,No,No
R_2WHIQkTo1oJ2p1O,It allows discussion facillitators to view real-time data about the collaboration. It analyzes the words used in the discussion to determine how positive or negative the discussion was.,Strongly agree,,Neutral,Agree,Disagree,Disagree,Yes,No
R_3PhUoVCQFoXVHvH,It is a useful tool used to measure collaboration. There are keyword trackers and categorization that allows the user to see data about their collaboration session.,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No
R_20TCSyxWc2jqPeh,"Keeping track of a group discussion. Tracking how the discussion changes, who is talking, etc.",Neutral,Somebody could take over the discussion,Neutral,Agree,Agree,Agree,Yes,Maybe
R_27eZYaCiiQfxBsJ,It would try to gauge how much collaboration there is by viewing the types of messages being sent from people in the group.,Agree,"It seems like there is a bit of generalization here, and that it could be detrimental for a group off task even if it is meant to get that back on track.",Strongly agree,Agree,Neutral,Strongly agree,No,No
R_3GqUW8zlgNoQsVk,For educators/facilitators to improve collaboration quality in participants over time,Neutral,,Agree,Strongly agree,Agree,Agree,Yes,Maybe
R_DCZeDpw5L2OofRf,"It captures how the groups communicate over a channel via microphones. Using this it measures moments of deep discussion and silence, while also measuring the emotional sentiment of the words used during thee discussion",Neutral,,Agree,Agree,Agree,Neutral,No,Maybe
R_vohA5vmxZDDB2KJ,To understand the flow of conversation in collaboration and to highlight key points being discussed ,Disagree,,Disagree,Disagree,Disagree,Agree,No,Maybe
R_233Sa4CdzIhgoGx,"The platform captured data on group discussions and created a live transcript of what was being said. Then, AI was used to highlight how that discussion was going based on an analysis of what was said. This was meant to provide feedback on the quality and amount of discussion.",Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No
R_1GJmZDk5XhI47dB,Given discussion facilitator real time insights into each group's collaboration but they are using machine learning ,Agree,,Agree,Agree,Neutral,Agree,Yes,No
R_2pL8GAQOrixdTEV,The purpose of the data capture platform is to gather information on group discussions and collaboration. The data capture platform provides functionality like keyword tracking and directional audio detection.,Strongly agree,I do not have any comments on how this data might be used.,Neutral,Strongly agree,Agree,Strongly agree,Yes,No
R_3kFcrxwui4CFBNp,The data capture platform is used to monitor collaboration meetings to highlight metrics that occur during the meeting using machine learning. This tool does not offer any insights but only highlights key metrics,Neutral,I do not think i have any concerns about being represented by the data but i think suggestions would be a good feature,Disagree,Neutral,Disagree,Neutral,Yes,Yes
R_3HBR6KQNPFi6eWK,this platform can help us review what we have done on the class and get an idea of how everyone feels,Agree,,Agree,Agree,Agree,Agree,No,Yes
R_eDucXlR8N3z6Tbr,"This device captures data about audio coming from different directions during a discussion. It creates transcripts of what was said during the discussion, that can be reviewed at a later time to revisit critical points. It also measures the amount of participation from each direction to monitor who is and isn't contributing to the same extent.",Agree,,Strongly agree,Strongly agree,Agree,Strongly agree,No,No
R_bwQm6M2qkaqaWiJ,"The data captured shows whether or not key topics were discussed by tracking key words. Also, you can see which direction the audio came from to see if a certain group of people were not participating",Neutral,,Neutral,Neutral,Disagree,Agree,No,Maybe
R_3lXl2ZvfQv5C193,To gather different keywords about the capture and transcripts and also the gather different metrics that will be helpful in evaluating the group collaboration,Neutral,,Disagree,Disagree,Disagree,Disagree,No,Yes
R_3e9qYInHSBOBWHG,They allow the capture of transcripts which then show different areas that were discussed. ,Agree,,Disagree,Agree,Disagree,Neutral,No,Yes
R_129lXfWiHNhmth8,"Blinc seems like a great tool for in class learning. By pinging the direction of the speaker and tracking that data, one gets a better idea of how much they are speaking.",Neutral,,Agree,Disagree,Agree,Neutral,No,Yes
R_2tyavwzDhOIjhns,"The purpose of the platform is to enhance collaboration. It has many features to help keep track of how the collaboration is going in real time, including a timeline, a dashboard to show when discussions are happening vs when it is silent, and a dashboard that keeps track of the direction of the conversation.",Agree,,Agree,Strongly agree,Agree,Strongly agree,No,No
R_ujJDq4chx9pjGhz,"The data capture platform listens and records multiple recording devices while in discussion and then analyzes the conversation through word choice, tone, and other factors to determine how positive or negative of an experience it was.",Disagree,,Disagree,Neutral,Disagree,Disagree,No,Maybe
R_12RUUk4BlWS795c,To determine how effective group discussions and collaboration sessions are. This is by keeping track of a number of factors such as how time is being allocated in sessions and what exactly is being said,Agree,,Agree,Agree,Agree,Agree,Yes,No
R_214CSLo3XvFtfRC,The purpose is to better track and understand online collaboration. It picks up audio and analyzes the key words to categorize them.,Neutral,,Neutral,Agree,Agree,Neutral,Yes,Maybe
R_1P1Aj7WjvsNRbos,"The purpose of the data capture platform described in the video is to provide data about how a group collaboration went. In particular, the platform produces easily digestible graphs and charts to see the kinds of topics and discussions a group is having during their collaboration.",Strongly agree,,Agree,Strongly agree,Neutral,Strongly agree,Yes,No
R_3NKWDMIN2wVBXjw,A platform that monitors the conversation of the group throughout meetings to allow for closer monitoring of a groups interactions,Neutral,,Neutral,Neutral,Disagree,Neutral,No,Maybe
R_yl6GOk575CyXl3H,Purpose to me seems to get more data around the way the discussion has been going on in the class. This should help with collaboration somehow.,Strongly agree,,Strongly agree,Strongly agree,Disagree,Strongly agree,No,Maybe
R_3MnwNPKceXljwDi,It's a system whose purpose is improve collaborations. It uses recordings of discussions to analyze what can be improved.,Agree,n/a,Neutral,Agree,Agree,Neutral,No,Maybe
R_2cpHdLxuWkIVeuC,"The data capture platform can be used to analyze group meetings. It analyzes the periods of silence and discussion to see how efficient meetings are, and analyzes emotions to tell groups whether their discussions are positive or negative.",Neutral,None,Neutral,Agree,Neutral,Neutral,No,Maybe
R_2720PGYi15ea7Xt,"The data capture platform described in the video would help people better understand how discussions that they are part of work on a deeper level. From key words to general trends within the discussion, it is a data-collection app to help better understand how to improve collaborations.",Agree,,Disagree,Agree,Disagree,Disagree,No,Maybe
R_3PFG1CbhJ1rEq8X,The data capture platform focused around collaboration. It measure chemistry students and their levels of collaboration. ,Agree,,Neutral,Neutral,Disagree,Agree,No,No
R_2D0kKMerRf9PqRh,The purpose of the data capture platform is to take conversation and analyzing the quality. This could be useful in making sure discussions have higher quality,Agree,,Neutral,Agree,Neutral,Agree,No,No
R_3EbcGNoHsu2zHYi,The data capture platform was used to record and give metric on collaboration. The data capture platform would do this with a given array of 6 microphones and keywords. When the data capture platform was given these inputs and devices it would then provide a collaboration metric of which areas of the room had said more and what they discussed.,Agree,,Neutral,Strongly agree,Neutral,Agree,Yes,Maybe
R_26aHLgW9A8ZIZBr,"Recording voice analysis birth voice data, including intonation, emotion, etc.",Neutral,,Neutral,Neutral,Neutral,Agree,No,Maybe
R_3IVH0f5wvQh9WXu,The data capture platform in the video has a purpose of analyzing collaboration in a particular project.,Disagree,,Agree,Strongly agree,Agree,Strongly agree,No,No
R_2BkETCTL1D2wwzc,The data capture platform records discussions and captures real time statistics about the discussion. This data can be sued to better fine-tine the collaborative learning experience.,Agree,,Agree,Agree,Agree,Agree,No,No
R_1IbFJzN9lgYPuM6,Please provide 2-3 sentences about the purpose and functionality of the data capture platform described in the video.,Strongly agree,Please provide 2-3 sentences about the purpose and functionality of the data capture platform described in the video.,Neutral,Neutral,Neutral,Neutral,No,Maybe
R_2tbbPoXI3Of1RkY,It is good. It provides a lot of data it is good. I never used such a dashboard.,Neutral,,Neutral,Neutral,Neutral,Neutral,No,Maybe
R_1FFoneLofkLlbgM,"The data capture platform seems useful to track the collaboration in live time. With the keyword tracking and recording, it would be easier to figure out what the team discussed, etc..",Neutral,It would be easier to see if a group is doing good job collaborating. ,Neutral,Agree,Neutral,Agree,No,No
R_1LTMuPYAjJv43F3," EDC software is an electronic data capture solution that lets surveyors, clinical researchers, and other field teams collect data via electronic forms. It streamlines data management and helps replace traditional paper-based forms.",Disagree,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Yes
R_2qz4UOOnjFSAe2Q,"The purpose of this platform is record parts of the collaboration and analyze them. You can see the transcript of the collaboration, see the direction of the discussion, and the tone. ",Agree,,Neutral,Agree,Neutral,Neutral,No,Maybe
R_3Ed53RAD7N36jYq,To get more info on participation. This can help with collaborations because you'll know what to improve on.,Agree,,Strongly disagree,Agree,Agree,Disagree,No,Maybe
R_1mLByG4loMzJX7f,There is a better visibility of discussions. There is a better visibility of discussions. There is a better visibility of discussions. There is a better visibility of discussions. There is a better visibility of discussions.,Disagree,,Neutral,Neutral,Neutral,Neutral,No,Maybe
R_21u2ciCnhSJFvLj,Data captured in real-time can be seen on the dashboard. On the dashboard we can see keywords and distribution of data etc. ,Neutral,,Strongly disagree,Agree,Disagree,Agree,Yes,No
R_2uWkPpWUA9Aosgb,The platform described in the video provides many useful characteristics. The ability to use keywords can definitely better increase understanding of the discussion content.,Neutral,,Neutral,Neutral,Neutral,Neutral,Yes,Yes
R_22QuUOHZyM8pOuF,"Platform is for analysing discussing. Also, it aims for helping communication. ",Neutral,,Neutral,Neutral,Neutral,Neutral,No,Maybe
R_21vuDNVBOW6dgwZ,Used to collaborate with people effectively. To ease out the process of communication and collaborations. ,Neutral,,Disagree,Disagree,Agree,Agree,No,Yes
R_3sypEc5kY6Jq6vb,I watched the video but I am still confused about the functionality and necessity of this platform,Agree,,Neutral,Strongly agree,Neutral,Agree,No,No
R_2P5aQJPkL3QaP0r,"I have used a similar application called otter.ai. Bascially, it keeps a record of all your meetings with transcripts and you can make notes from them which can be shared with the class",Agree,,Neutral,Agree,Neutral,Neutral,Yes,Maybe
R_2VyZTXjKKTViJ58,This is for us to discuss the problem. This is designed for us to evaluate oursleves in the process of discussion,Strongly disagree,,Neutral,Neutral,Neutral,Neutral,No,Maybe
R_1PTReCtWBKdJE36,The purpose of the data capture platform is to gain data during collaborative learning. This data will then be used to find ways to improve learning. ,Strongly disagree,,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,No,Maybe
R_12JtatHrXymA5F6,'- The data capture platform allows people to check the quality of the collaboration - It allows us to asses the direction the discussion is going in - It allows us to judge the quality of the conversation,Strongly agree,This seems a little invasive in terms of privacy. ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No
R_2YMx8MGut7cXNVb,"It is supposed to help with collaboration. It analyzes emotional tone, analytic thinking, clout, authenticity, confusion.",Neutral,,Strongly agree,Agree,Agree,Strongly agree,No,No
R_XmGHr5iAHR74uHL,"improve collaboration and learning;  Effectively record points of view during discussions and collaborations, which can be used to facilitate communication and better collaboration.",Agree,,Agree,Agree,,Agree,Yes,Yes
R_1Q6hWtKp6waEY5t,It is supposed to analyze different expressions within discussions. It can pick up on emotions and/or the tones that are going on in the discussion.,Disagree,,Disagree,Neutral,Disagree,Neutral,No,Maybe
R_AHUcntqFNdD9W5r,"The purpose and functionality of the data capture platform described in the video is to evaluate group discussions, and understand and classify the content.",Agree,,Neutral,Strongly agree,Neutral,Disagree,Yes,Yes
R_YS4Pp7G5ihNGEtX,"It's a discussion facilitator that is like data visualization, which can help on research, group works. It can record real-time discussion, at the same time, abstract keywords from real-time discussion. In addition, it can analyze discussion datas by using machine learning tools. ",Strongly agree,"Wonder how my information would be used, for example, will these data be shared to any company?",Disagree,Agree,Neutral,Agree,No,No
R_tJrMowcGWnvWbDz,"The data capture platform described in the video relies on audio recording of participant interaction. Using this recording, it presents a transcript and data regarding the collaborator discussion.",Disagree,,Agree,Agree,Disagree,Agree,No,No
R_urjQoayeecQDAsx,"The data capture platform uses machine learning to analyze conversations in real time. There are several metrics that are created for analysis, including a transcription of what was said, data diagrams, and measures such as emotional tone and analytic thinking. ",Agree,None,Neutral,Neutral,Neutral,Neutral,No,Maybe
R_2cbCKwDrZV1TWPT,It is a platform that allows educators to monitor discussions. Some functionalities include transcripting conversation and evaluating tone.,Strongly agree,"Honestly I'm very bothered by the idea of having my conversation turned into a transcript and saved in that manner. If this is to be used in educational settings, educators will likely mandate that their students use it in some way. This would remove student choice surrounding the security of their own speech, so I am highly concerned about this technology.",Strongly agree,Strongly agree,Neutral,Strongly agree,No,No
R_vxy0jHZfaPRJqzn,"If I am not mistaken, the purpose of the platform is for people such as teachers to track different group discussions in larger settings where it would be difficult to otherwise.",Disagree,,Neutral,Agree,Neutral,Neutral,No,Maybe
R_1LBQ5veJ0ndeSgk,report real time data from collaborative meetings.analyze emotions through transcription.use data to improve collaboration.,Agree,,Agree,Strongly agree,Agree,Agree,No,No
R_1LUq2wgii4Ffi68,"The purpose of the data capture platform described in the video is to be able to monitor the quality of collaborations. By analyzing the discussions taking place, the software can provide insights on to how well the group is working together and how it can be improved.",Agree,,Neutral,Agree,Disagree,Neutral,Yes,Maybe
R_VJVqCzQkQr4eeo9,"To provide an audio transcript of the discussion. To capture and illustrate keywords covered in the discussion, to provide analytics such as tone and emotion of the discussion",Neutral,,Disagree,Disagree,Disagree,Neutral,No,Yes
R_2ypFzpi8cHfZhxs,Keywords can be extracted for topic extraction.  You can select different time periods to view information for that time period.  User behavior can be analyzed.,Agree,,Agree,Agree,Neutral,Agree,No,No
R_1H7SrSAm5uxibBd,Extracting information from paper or electronic documents. Converting information into data for key systems.,Agree,,Agree,Agree,Neutral,Agree,No,No
R_ptSvqTH60lWXWXD,"This platform is used to track the discussion information given a user-defined timeline. The discussion information contains communication intensity, captured keyword and tone analysis. These information helps people to evaluate their discussion from a statistical perspective.",Neutral,,Neutral,Neutral,Disagree,Neutral,No,Maybe
R_3NKGx4NmChTHPXB,To track how the discussion progresses using features such as emotional tone and confusion. The data is captured using words from the discussion transcript.,Disagree,,Disagree,Disagree,Disagree,Disagree,Yes,Maybe
R_NWw3CtJdX1Z52Mh,"The data of cooperation can help us to improve ourselves to some extent, the data is presented in a very novel way, Real-time monitoring combined with Deep Learning makes for an exciting experience",Agree,,Neutral,Strongly agree,Neutral,Agree,No,Maybe
R_2uO2ZgUAWpjJwoa,It's a tool to record the collaboration. The audio data for each device are recorded and analysed.  ,Agree,"I'm worried about the my privacy, because I can't control who will get my data, and if I accidentally said some personal information I don't want to be recorded, I can't delete it. Also, some analysis like the emotional tone can be biased.",Agree,Agree,Agree,Agree,Yes,No
R_2qBEmMVZkvBRbTm,The platform analyzes several metrics of a discussion to provide real time feedback. ,Strongly agree,Privacy concerns. I would be less concerned if this is used during a formal class discussion rather than a casual conversation. I'm also worried about how well this tool can analyze complex text and difficult topics-- will it accurately represent what I will say about these topics? And where is the data being stored?,Neutral,Strongly agree,Disagree,Agree,Yes,No
R_2X0wqMR8E3LjYBM,"It seems like the tool captures real time data on communication while collaboration is occuring. It records the users and identifies emotionality, highlights keywords etc.",Agree,,Agree,Agree,Neutral,Agree,Yes,Maybe
R_22XDHizetw0OZF8,The purpose of the platform is to capture and analyze audio from group discussions. From the audio it detects keywords and direction in order to inform on metrics such as emotional tone of the discussion.,Neutral,"I think if student conversations are recorded like this, students may speak differently than normal or be hesitant to speak which could result in decreased communication and collaboration.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No
R_xsVLZGqT8iXpvVf,"This capture platform can generate the talking transcript. And it can analyze the emotions of people"" talking transcript.",Agree,,Strongly agree,Strongly agree,Strongly agree,Neutral,No,Yes
R_3GjtBruQMeSXHJM,The platform is meant to provide feedback about conversations had in an educational setting. It tracks what is said during the discussions and record things like the emotions be used.,Agree,,Neutral,Strongly agree,Agree,Agree,No,No
R_1Fnq1bphPQY5R6j,The data capture platform is very useful to learn about collaboration. It helps to better understand people's opinions.,Strongly disagree,No,Strongly disagree,Strongly disagree,Neutral,Neutral,No,Yes
R_2rOsT77UPT4E12W,The purpose is to monitor group activity and analyze the data that's captured. Part of what that entails is assessing the language used to gauge who's speaking and what the general tone of the session is. ,Agree,,Agree,Strongly agree,Agree,Strongly agree,No,No
R_1pFp8fvtkpcjilf,"The purpose of the data capture platform is to tag and categorize the words the appear during class discussions. It also recorded the direction of the sounds and scored the tone of the discussion. In addition, it provided a breakdown of time spent in silence, and time reserved for questions and discussion. ",Agree,,Disagree,Agree,Disagree,Agree,No,No
R_86Z8snTct1JrRYd,"Seems to be an app that will record collaborative discussion and record the conversation, highlighting key words. You can see data from each speaker, as well as data from specific time frames. You can also see a full audio transcript as well as also get a rating of the speaker's tone",Neutral,,Neutral,Agree,Neutral,Strongly agree,Yes,Maybe
R_3hbCYcko2HM42bi,"The platform is used to track each team member's contribution within a group discussion. In addition, it prevents group member from being off-topic. The purpose is to evaluate contribution and keep the discussion on the right track.",Agree,,Neutral,Neutral,Disagree,Agree,No,Maybe
R_2PkhDIkDZtmoGKU,"It records your discussion, labeling times where there was a lot of discussion or questions posed. It also provides an evolution of analytical, emotion, clout, etc. quality of the session.",Strongly agree,,Neutral,Agree,Agree,Agree,No,Maybe
R_3ssqH2wpnWqvcwj,"The platform provides a way for discussion facilitators/teachers to capture insights from student discussions, especially in large classrooms. facilitators can track specific keywords or even identify the time breakdown of the discussions (questions vs. silence).",Strongly agree,"I have some privacy concerns about this. What if in those discussions students mention personal information? How do you make sure those transcripts are safe? Also, I have an accent so I wonder how this tool will work for ESL speakers.",Neutral,Strongly agree,Strongly agree,Neutral,Yes,Maybe
R_DjdPAMk2jDt2VkB,The data platform will capture different collaboration indicators and evaluate the quality of collaboration,Disagree,,Strongly agree,Strongly agree,Neutral,Strongly agree,No,No
R_VKlbo3dPZ2786Qx,analyzes the audio of the discussion and provides an analysis based on key words,Agree,I'm still curious as to whether this will change how people collaborate - knowing that they will be recorded,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No
R_4SY241Pi4GzMsHT,It's purpose is to analyze classroom discussions and summarize key aspects of it. Some of these aspects include key terms and where the discussion is physically most active.,Neutral,,Neutral,Agree,Agree,Neutral,Yes,Maybe
R_2DUHjFmlETGa4fh,The platform captures audio from collaboration meetings and uses sentiment analysis to give real-time updates on how collaborators are doing. This allows teams to respond quickly to undesirable forms of communication.,Agree,,Agree,Agree,Strongly agree,Disagree,No,No
R_3ffo7dFx4De5Ltd,The purpose of the platform is to get collaboration data in real time. It has various functions such as being able to show the emotionality of the things being said as well as keywords that come up in the discussion.,Agree,,Strongly agree,Strongly agree,Agree,Strongly agree,No,No
R_1rvLQrB9kc4nXCQ,BLINC is used to encourage collaboration. This is important so we can learn how we work best. The platform gives quantitative ways of doing this.,Strongly agree,,Agree,Agree,Disagree,Strongly agree,No,No
R_YaeXUIcRneUGTNn,Aiding in providing information on collaborative affairs (especially within the classroom) through a data-driven approach,Agree,N/A,Agree,Strongly agree,Agree,Strongly agree,Yes,No
R_1K3zydUySxJfwpa,The platform facilitates discussion sections in classes. It helps Professors and students to better engage and analyze the content of the discussions.,Agree,,Neutral,Neutral,Agree,Agree,No,Maybe
R_1M0BwbF3qDSC4dt,,,,,,,,,
R_2U9FLeshtIGBk8T,,,,,,,,,
R_3m1BR6GM1JzCG0p,,,,,,,,,
R_3kbKxx2OU1fkTEV,,,,,,,,,
R_3g7oG4vyZYuZL9O,,,,,,,,,
R_1gAaJhuipH6HrM1,,,,,,,,,
R_2EaSZ011MU1vZhh,I understand how this information might be useful for supporting learning but I am concerned about how I could be represented by data.,Strongly agree,,Strongly agree,Strongly agree,Neutral,Strongly agree,No,No
R_2ZVtrjsSX9r4NL2,,,,,,,,,
R_CkLGiejByx9H0qt,,,,,,,,,
R_ysfhm9KAzDY2sLv,,,,,,,,,
R_3lrYNJ81VvW7f8d,,,,,,,,,
R_899SRvo7KlNwdZn,It gives insight on collaboration and group dynamics. It displays analytics ,Strongly agree,,Agree,Agree,Neutral,Agree,No,Maybe
R_3KusrVaJQY0Mcjn,,,,,,,,,
R_1mzvSw9RV9xH2pb,,,,,,,,,
R_3sAZhUuCXvXCObr,,,,,,,,,
R_QnWrtHPr3slIBdn,,,,,,,,,
R_3Mxprrjm58uv1y1,,,,,,,,,
R_ugjLzyh8wlgS533,,,,,,,,,
R_eb1JBMrC4KRxz5T,,,,,,,,,
R_1AmIUcLO1FlwJGN,,,,,,,,,
R_28Ngp0gHSTJUSMI,,,,,,,,,
R_r13o83nmqxZTp2F,,,,,,,,,
R_3FXxl2DMQg8ldYf,,,,,,,,,
R_12tN2iNcZhDLpWz,,,,,,,,,
R_xDFYc7WXCYuxeRr,,,,,,,,,
R_3iyd3iNSySr89lf,,,,,,,,,
R_Raax7XXWYlQtavv,,,,,,,,,
R_24GcMHYKxsLJQP7,,,,,,,,,
R_2Bn51DWplQouPCt,"The purpose is to provide instructors with real time metrics to track how in class discussions are going. Metrics include things like the emotional tone of the discussion, keywords, etc. so the instructor can verify that discussions are going as planned without being present for all of them.",Agree,I'm a little concerned about it being used to track in class participation. How good is it at distinguishing voices so that I can be sure I get credit for all of my participation?,Disagree,Agree,Strongly disagree,Disagree,Yes,Maybe
R_2QixqCU30ELSWdn,,,,,,,,,
R_CaxgHCMzabwXKgx,,,,,,,,,
R_42x9qJNLvJOnixP,,,,,,,,,
R_AEFBDph4rifs4Vj,,,,,,,,,
R_2WMvPyytA7K5kJ4,,,,,,,,,
R_2zHekmtccOV3X0Z,,,,,,,,,
R_3GwRNm6P7DQofy0,,,,,,,,,
R_2aJG418vpHYEyAn,The data capture platform is very useful for monitoring the collaboration of members in different teams. One can also keep a track of the work done by different members of the team through that platform.,Strongly disagree,No,Strongly disagree,Strongly disagree,Neutral,Neutral,No,Yes
R_9XBAOST6udTAFMd,,,,,,,,,
R_Do7cLefkTQKtMTT,,,,,,,,,
R_2VwnlVyKWrnjlu2,,,,,,,,,
R_3FKIUfBa6ZFdVE7,,,,,,,,,
R_3fiOFzXttHho3XF,,,,,,,,,
R_6R1K3KS7H5jBanv,,,,,,,,,
R_2qx8veHv4i3ZnvI,,,,,,,,,
R_3lEnRzTR9SZZM0A,,,,,,,,,
R_1FgO9K1Q71KUk3r,,,,,,,,,
R_22mIckzFeAKP6aB,,,,,,,,,
R_2ZP0NWLucDu21uo,,,,,,,,,
R_2VmBkygCs9EJszI,,,,,,,,,
R_2SAKvA2YfTF6iXa,,,,,,,,,
R_zeac9mPklu3yD9n,,,,,,,,,
R_tMt9lDfAgkH7Nw5,,,,,,,,,
R_VKkymuj6ejFLEM9,,,,,,,,,
R_1LNoxW1bXXR9ij2,,,,,,,,,
R_xsjVhQLew2cZoDn,,,,,,,,,
R_1KsbJPldxvVLd4I,The data capture platform uses words and audio to analyse collaboration in a team,Agree,,Disagree,Disagree,Disagree,Disagree,No,Yes
R_1HiYc1s9NaUDUFd,,,,,,,,,
R_pnl6Y1zWvO0zNXb,,,,,,,,,
R_2QheVLXH1GPtEah,,,,,,,,,
R_2uVywdONa4RZ8gl,,,,,,,,,
R_1DVd5CbMbij25jj,,,,,,,,,
R_3oI6vMVBzUjPeB8,,,,,,,,,
R_21ajIYShoumJ8LD,,,,,,,,,
R_OdrWYQCmzhlrrsR,,,,,,,,,
R_2fe5DPTQJgfdcGZ,,,,,,,,,
R_1re8bTI1os63OmS,,,,,,,,,
R_eKVAFmNmqXqYEVP,,,,,,,,,
R_2Tnvpjf6oDBpeLm,,,,,,,,,
R_32PA6CFPBP2aa3S,,,,,,,,,
R_3RqK9hNGUUiOITx,,,,,,,,,
R_2ByNBCXUAOXavPw,,,,,,,,,
R_DIXR4qTtxbJLmed,,,,,,,,,
R_1jYPQFF9GBYb3pb,,,,,,,,,
R_3rJ0zCDfuHqyhOY,,,,,,,,,
R_1LM5GyxO1ls7C6s,,,,,,,,,
R_31GgBQ5HLmMSJfy,,,,,,,,,
R_6nDH3bAvfkFMfmx,,,,,,,,,
R_1ohhsJzc4DdkEnV,,,,,,,,,
R_XScLwkcoO5VEjgB,,,,,,,,,
R_ebUHGAxJtxFECVH,,,,,,,,,
R_2aIvX636vVXyhVf,The data capture platform could analyze content in different adjustable sections. It can also show critical parts below for visualization and detailed analyzed for pre-set sections.,Neutral,None,Neutral,Neutral,Neutral,Neutral,No,Yes
R_21AntFOkkfuCm5I,,,,,,,,,
R_2E4TaOVHlsSzLYF,,,,,,,,,
R_1I5gUzsheyheRXs,,,,,,,,,
R_2Y2HyxurrjMnfND,,,,,,,,,
R_2xXl5U0VJ0yG3qd,,,,,,,,,
R_1IA6D66fUYjOrFA,,,,,,,,,
R_3ilOzsz9UeB2hcI,,,,,,,,,
R_XOkjaAxDQdLULMl,,,,,,,,,
